2025-08-17T11:37:03.170Z [INFO] [ChatRoutes] 聊天路由初始化完成 
2025-08-17T11:37:36.651Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430656650_x21eu5l8e","method":"POST","url":"/api/chat/message","statusCode":400,"duration":"0ms","contentLength":"104"}
2025-08-17T11:37:37.167Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430657166_5en838n30","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:38:10.912Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430657166_5en838n30","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"33745ms","contentLength":"203"}
2025-08-17T11:38:11.934Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430691934_m8ajv52xq","method":"GET","url":"/api/chat/sessions/api_test_user_1755430623171_sessions","ip":"::ffff:127.0.0.1"}
2025-08-17T11:38:11.937Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430691934_m8ajv52xq","method":"GET","url":"/api/chat/sessions/api_test_user_1755430623171_sessions","statusCode":200,"duration":"3ms","contentLength":"107"}
2025-08-17T11:38:12.446Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430692446_6sebdgeri","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:38:44.584Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430692446_6sebdgeri","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"32137ms","contentLength":"203"}
2025-08-17T11:38:44.889Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430724889_vq05q8aj8","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:39:17.959Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430724889_vq05q8aj8","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"33070ms","contentLength":"203"}
2025-08-17T11:39:18.268Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430758268_xfcbld6r8","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:39:51.970Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430758268_xfcbld6r8","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"33701ms","contentLength":"203"}
2025-08-17T11:39:53.282Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430793282_7ha8oofxn","method":"GET","url":"/api/chat/sessions/api_test_user_1755430623171_history/history_test_1755430692442","ip":"::ffff:127.0.0.1"}
2025-08-17T11:39:53.287Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430793282_7ha8oofxn","method":"GET","url":"/api/chat/sessions/api_test_user_1755430623171_history/history_test_1755430692442","statusCode":200,"duration":"4ms","contentLength":"161"}
2025-08-17T11:39:53.792Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430793792_no5flsbxs","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:40:52.598Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430793792_no5flsbxs","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"58806ms","contentLength":"203"}
2025-08-17T11:40:53.604Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430853604_djkshrtmo","method":"GET","url":"/api/chat/stats/api_test_user_1755430623171_stats","ip":"::ffff:127.0.0.1"}
2025-08-17T11:41:03.614Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430853604_djkshrtmo","method":"GET","url":"/api/chat/stats/api_test_user_1755430623171_stats","statusCode":200,"duration":"10009ms","contentLength":"109"}
2025-08-17T11:41:04.123Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430864122_8ckp9i37n","method":"GET","url":"/api/chat/nonexistent","ip":"::ffff:127.0.0.1"}
2025-08-17T11:41:04.124Z [WARN] [ChatRoutes] API路由未找到 {"method":"GET","url":"/api/chat/nonexistent","ip":"::ffff:127.0.0.1"}
2025-08-17T11:41:04.128Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430864122_8ckp9i37n","method":"GET","url":"/api/chat/nonexistent","statusCode":404,"duration":"5ms","contentLength":"137"}
2025-08-17T11:41:04.135Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430864135_nxyzfewrj","method":"GET","url":"/api/chat/sessions/","ip":"::ffff:127.0.0.1"}
2025-08-17T11:41:04.135Z [WARN] [ChatRoutes] API路由未找到 {"method":"GET","url":"/api/chat/sessions/","ip":"::ffff:127.0.0.1"}
2025-08-17T11:41:04.135Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430864135_nxyzfewrj","method":"GET","url":"/api/chat/sessions/","statusCode":404,"duration":"0ms","contentLength":"135"}
2025-08-17T11:41:04.647Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430864647_nj4caw98e","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:41:04.653Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430864653_gkvxr0ysu","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:41:04.656Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430864656_ntq0tmi05","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:41:39.522Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430864647_nj4caw98e","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"34875ms","contentLength":"203"}
2025-08-17T11:41:50.419Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430864653_gkvxr0ysu","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"45766ms","contentLength":"203"}
2025-08-17T11:44:04.476Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430864656_ntq0tmi05","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"179820ms","contentLength":"203"}
