2025-08-17T11:16:02.014Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:17:01.537Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_3","intentType":"external_tool","confidence":0.95,"processingTime":"1376ms"}
2025-08-17T11:17:01.739Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_4","userInput":"查询一下明天的天气预报"}
2025-08-17T11:17:03.017Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_4","intentType":"external_tool","confidence":0.95,"processingTime":"1278ms"}
2025-08-17T11:17:03.219Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_5","userInput":"附近有什么好吃的餐厅？"}
2025-08-17T11:17:05.159Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_5","intentType":"external_tool","confidence":0.95,"processingTime":"1940ms"}
2025-08-17T11:17:05.360Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_6","userInput":"帮我导航到最近的医院"}
2025-08-17T11:17:06.459Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_6","intentType":"external_tool","confidence":0.95,"processingTime":"1099ms"}
2025-08-17T11:17:06.660Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_7","userInput":"实时路况怎么样？"}
2025-08-17T11:17:07.828Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_7","intentType":"external_tool","confidence":0.95,"processingTime":"1168ms"}
2025-08-17T11:17:08.032Z [INFO] [IntentRecognition] 开始批量意图识别 {"count":4}
2025-08-17T11:17:08.032Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"batch_0","userInput":"你好，今天天气不错"}
2025-08-17T11:17:09.629Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"batch_0","intentType":"normal_chat","confidence":0.9,"processingTime":"1597ms"}
2025-08-17T11:17:09.731Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"batch_1","userInput":"帮我添加一个任务"}
2025-08-17T11:17:11.076Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"batch_1","intentType":"task_creation","confidence":0.95,"processingTime":"1345ms"}
2025-08-17T11:17:11.178Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"batch_2","userInput":"我今天有什么安排？"}
2025-08-17T11:17:12.942Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"batch_2","intentType":"time_scheduling","confidence":0.95,"processingTime":"1765ms"}
2025-08-17T11:17:13.043Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"batch_3","userInput":"北京天气怎么样？"}
2025-08-17T11:17:15.162Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"batch_3","intentType":"external_tool","confidence":0.95,"processingTime":"2119ms"}
2025-08-17T11:17:15.162Z [INFO] [IntentRecognition] 批量意图识别完成 {"total":4,"successful":4}
2025-08-17T11:17:15.163Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_0","userInput":"你好，今天天气不错"}
2025-08-17T11:17:16.772Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_0","intentType":"normal_chat","confidence":0.9,"processingTime":"1609ms"}
2025-08-17T11:17:16.873Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_1","userInput":"你好，今天天气不错"}
2025-08-17T11:17:20.062Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_1","intentType":"normal_chat","confidence":0.9,"processingTime":"3189ms"}
2025-08-17T11:17:20.163Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_2","userInput":"你好，今天天气不错"}
2025-08-17T11:17:22.219Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_2","intentType":"normal_chat","confidence":0.9,"processingTime":"2056ms"}
2025-08-17T11:17:22.319Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_3","userInput":"你好，今天天气不错"}
2025-08-17T11:17:24.416Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_3","intentType":"normal_chat","confidence":0.9,"processingTime":"2097ms"}
2025-08-17T11:17:24.517Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_4","userInput":"你好，今天天气不错"}
2025-08-17T11:17:27.271Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_4","intentType":"normal_chat","confidence":0.9,"processingTime":"2754ms"}
2025-08-17T11:17:27.372Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_5","userInput":"你好，今天天气不错"}
2025-08-17T11:17:28.663Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_5","intentType":"normal_chat","confidence":0.9,"processingTime":"1291ms"}
2025-08-17T11:17:28.763Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_6","userInput":"你好，今天天气不错"}
2025-08-17T11:17:30.401Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_6","intentType":"normal_chat","confidence":0.9,"processingTime":"1638ms"}
2025-08-17T11:17:30.502Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_7","userInput":"你好，今天天气不错"}
2025-08-17T11:17:31.832Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_7","intentType":"normal_chat","confidence":0.9,"processingTime":"1330ms"}
2025-08-17T11:17:31.932Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_8","userInput":"你好，今天天气不错"}
2025-08-17T11:17:33.526Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_8","intentType":"normal_chat","confidence":0.9,"processingTime":"1594ms"}
2025-08-17T11:17:33.627Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"perf_test_9","userInput":"你好，今天天气不错"}
2025-08-17T11:17:35.177Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"perf_test_9","intentType":"normal_chat","confidence":0.9,"processingTime":"1550ms"}
2025-08-17T11:17:45.775Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:17:45.778Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777","userInput":"你好，我是测试用户"}
2025-08-17T11:17:47.889Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777","intentType":"normal_chat","confidence":0.95,"processingTime":"2110ms"}
2025-08-17T11:17:49.745Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_intent","userInput":"今天心情不错"}
2025-08-17T11:17:51.216Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_intent","intentType":"normal_chat","confidence":0.95,"processingTime":"1471ms"}
2025-08-17T11:17:53.366Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_intent","userInput":"帮我添加一个任务"}
2025-08-17T11:17:54.364Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_intent","intentType":"task_creation","confidence":0.95,"processingTime":"998ms"}
2025-08-17T11:17:57.926Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_intent","userInput":"我今天有什么安排？"}
2025-08-17T11:17:59.405Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_intent","intentType":"time_scheduling","confidence":0.95,"processingTime":"1479ms"}
2025-08-17T11:18:04.839Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_intent","userInput":"北京天气怎么样？"}
2025-08-17T11:18:06.187Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_intent","intentType":"external_tool","confidence":0.95,"processingTime":"1348ms"}
2025-08-17T11:18:08.404Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_session","userInput":"你好"}
2025-08-17T11:18:09.742Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_session","intentType":"normal_chat","confidence":0.95,"processingTime":"1338ms"}
2025-08-17T11:18:10.765Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_db","userInput":"这是数据库存储测试消息"}
2025-08-17T11:18:12.361Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_db","intentType":"normal_chat","confidence":0.8,"processingTime":"1596ms"}
2025-08-17T11:18:13.855Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_error","userInput":""}
2025-08-17T11:18:15.427Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_error","intentType":"normal_chat","confidence":0.9,"processingTime":"1572ms"}
2025-08-17T11:18:16.479Z [INFO] [IntentRecognition] 开始意图识别 {"userId":null,"userInput":"测试消息"}
2025-08-17T11:18:17.770Z [INFO] [IntentRecognition] 意图识别完成 {"userId":null,"intentType":"normal_chat","confidence":0.9,"processingTime":"1291ms"}
2025-08-17T11:18:28.659Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_error","userInput":"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"}
2025-08-17T11:18:30.307Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_error","intentType":"normal_chat","confidence":0.95,"processingTime":"1648ms"}
2025-08-17T11:18:31.866Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429465777_perf","userInput":"这是性能测试消息 1"}
2025-08-17T11:18:33.358Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429465777_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"1492ms"}
2025-08-17T11:21:28.624Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:21:31.847Z [INFO] [IntentRecognition] 开始意图识别 {"userId":null,"userInput":"测试消息"}
2025-08-17T11:21:33.969Z [INFO] [IntentRecognition] 意图识别完成 {"userId":null,"intentType":"normal_chat","confidence":0.9,"processingTime":"2122ms"}
2025-08-17T11:23:22.933Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:23:26.146Z [INFO] [IntentRecognition] 开始意图识别 {"userId":null,"userInput":"测试消息"}
2025-08-17T11:23:27.424Z [INFO] [IntentRecognition] 意图识别完成 {"userId":null,"intentType":"normal_chat","confidence":0.9,"processingTime":"1278ms"}
2025-08-17T11:23:55.771Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:24:51.253Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:24:51.255Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255","userInput":"你好，我是测试用户"}
2025-08-17T11:24:52.719Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255","intentType":"normal_chat","confidence":0.95,"processingTime":"1464ms"}
2025-08-17T11:24:53.894Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_intent","userInput":"今天心情不错"}
2025-08-17T11:24:55.290Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_intent","intentType":"normal_chat","confidence":0.95,"processingTime":"1396ms"}
2025-08-17T11:24:56.773Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_intent","userInput":"帮我添加一个任务"}
2025-08-17T11:24:57.872Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_intent","intentType":"task_creation","confidence":0.95,"processingTime":"1099ms"}
2025-08-17T11:25:01.410Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_intent","userInput":"我今天有什么安排？"}
2025-08-17T11:25:02.480Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_intent","intentType":"time_scheduling","confidence":0.95,"processingTime":"1070ms"}
2025-08-17T11:25:06.560Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_intent","userInput":"北京天气怎么样？"}
2025-08-17T11:25:08.091Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_intent","intentType":"external_tool","confidence":0.95,"processingTime":"1531ms"}
2025-08-17T11:25:10.613Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_session","userInput":"你好"}
2025-08-17T11:25:12.134Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_session","intentType":"normal_chat","confidence":0.95,"processingTime":"1521ms"}
2025-08-17T11:25:13.665Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_db","userInput":"这是数据库存储测试消息"}
2025-08-17T11:25:15.416Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_db","intentType":"normal_chat","confidence":0.9,"processingTime":"1751ms"}
2025-08-17T11:25:17.167Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_error","userInput":""}
2025-08-17T11:25:18.775Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_error","intentType":"normal_chat","confidence":0.9,"processingTime":"1608ms"}
2025-08-17T11:25:20.071Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_error","userInput":"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"}
2025-08-17T11:25:22.145Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_error","intentType":"normal_chat","confidence":0.95,"processingTime":"2074ms"}
2025-08-17T11:25:23.640Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429891255_perf","userInput":"这是性能测试消息 1"}
2025-08-17T11:25:24.851Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429891255_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"1211ms"}
2025-08-17T11:25:47.940Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:25:47.943Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942","userInput":"你好，我是测试用户"}
2025-08-17T11:25:49.315Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942","intentType":"normal_chat","confidence":0.95,"processingTime":"1372ms"}
2025-08-17T11:25:50.343Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_intent","userInput":"今天心情不错"}
2025-08-17T11:25:51.380Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_intent","intentType":"normal_chat","confidence":0.95,"processingTime":"1037ms"}
2025-08-17T11:25:52.664Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_intent","userInput":"帮我添加一个任务"}
2025-08-17T11:25:53.841Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_intent","intentType":"task_creation","confidence":0.95,"processingTime":"1177ms"}
2025-08-17T11:25:56.814Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_intent","userInput":"我今天有什么安排？"}
2025-08-17T11:26:00.322Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_intent","intentType":"time_scheduling","confidence":0.95,"processingTime":"3508ms"}
2025-08-17T11:26:03.612Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_intent","userInput":"北京天气怎么样？"}
2025-08-17T11:26:04.711Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_intent","intentType":"external_tool","confidence":0.95,"processingTime":"1099ms"}
2025-08-17T11:26:07.006Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_session","userInput":"你好"}
2025-08-17T11:26:08.215Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_session","intentType":"normal_chat","confidence":0.95,"processingTime":"1209ms"}
2025-08-17T11:26:09.363Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_session","userInput":"我想了解一下你的功能"}
2025-08-17T11:26:10.427Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_session","intentType":"normal_chat","confidence":0.95,"processingTime":"1064ms"}
2025-08-17T11:26:14.471Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_session","userInput":"谢谢你的介绍"}
2025-08-17T11:26:15.649Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_session","intentType":"normal_chat","confidence":0.95,"processingTime":"1178ms"}
2025-08-17T11:26:17.358Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_db","userInput":"这是数据库存储测试消息"}
2025-08-17T11:26:19.178Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_db","intentType":"normal_chat","confidence":0.9,"processingTime":"1820ms"}
2025-08-17T11:26:22.421Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_error","userInput":""}
2025-08-17T11:26:23.842Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_error","intentType":"normal_chat","confidence":0.9,"processingTime":"1421ms"}
2025-08-17T11:26:25.119Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_error","userInput":"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"}
2025-08-17T11:26:26.672Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_error","intentType":"normal_chat","confidence":0.95,"processingTime":"1553ms"}
2025-08-17T11:26:28.017Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_perf","userInput":"这是性能测试消息 1"}
2025-08-17T11:26:29.750Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"1733ms"}
2025-08-17T11:26:31.192Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_perf","userInput":"这是性能测试消息 2"}
2025-08-17T11:26:33.551Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"2359ms"}
2025-08-17T11:26:34.563Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_perf","userInput":"这是性能测试消息 3"}
2025-08-17T11:26:37.238Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"2675ms"}
2025-08-17T11:26:38.629Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_perf","userInput":"这是性能测试消息 4"}
2025-08-17T11:26:40.587Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"1958ms"}
2025-08-17T11:26:41.586Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755429947942_perf","userInput":"这是性能测试消息 5"}
2025-08-17T11:26:43.116Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1755429947942_perf","intentType":"normal_chat","confidence":0.9,"processingTime":"1530ms"}
2025-08-17T11:27:10.644Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:27:10.646Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1755430030646","userInput":"你好，我是测试用户"}
